Catégorie : Toutes catégories

Mois,bitcoin: (États-Unis)
2020-01,18
2020-02,19
2020-03,25
2020-04,20
2020-05,26
2020-06,18
2020-07,19
2020-08,22
2020-09,16
2020-10,19
2020-11,34
2020-12,51
2021-01,100
2021-02,100
2021-03,70
2021-04,74
2021-05,93
2021-06,63
2021-07,46
2021-08,41
2021-09,42
2021-10,53
2021-11,52
2021-12,47
2022-01,56
2022-02,48
2022-03,40
2022-04,32
2022-05,51
2022-06,62
2022-07,42
2022-08,27
2022-09,29
2022-10,24
2022-11,37
2022-12,26
2023-01,26
2023-02,23
2023-03,28
2023-04,28
2023-05,23
2023-06,24
2023-07,22
2023-08,21
2023-09,19
2023-10,23
2023-11,26
2023-12,32
2024-01,37
2024-02,35
2024-03,57
2024-04,40
2024-05,29
2024-06,26
2024-07,28
2024-08,31
2024-09,23
2024-10,23
2024-11,68
2024-12,60
2025-01,47
2025-02,40
2025-03,41
2025-04,34
2025-05,26
